<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDINR;60;20220819;000000;79.7700000;79.7700000;79.7700000;79.7700000;1
USDINR;60;20220819;010000;79.7300000;79.7300000;79.7300000;79.7300000;2
USDINR;60;20220819;050000;79.7300000;79.7300000;79.7300000;79.7300000;4
USDINR;60;20220819;060000;79.7300000;79.7300000;79.7300000;79.7300000;1
USDINR;60;20220819;070000;79.7500000;79.8000000;79.6725000;79.7270000;499
USDINR;60;20220819;080000;79.7425000;79.7550000;79.7090000;79.7350000;735
USDINR;60;20220819;090000;79.7325000;79.7700000;79.7270000;79.7430000;711
USDINR;60;20220819;100000;79.7500000;79.7700000;79.7140000;79.7650000;615
USDINR;60;20220819;110000;79.7625000;79.7900000;79.7310000;79.7620000;786
USDINR;60;20220819;120000;79.7850000;79.8030000;79.7530000;79.7900000;712
USDINR;60;20220819;130000;79.7610000;79.8000000;79.7210000;79.7420000;752
USDINR;60;20220819;140000;79.7800000;79.8540000;79.7410000;79.8450000;92
USDINR;60;20220819;150000;79.8440000;79.8890000;79.8440000;79.8610000;73
USDINR;60;20220819;160000;79.8560000;79.8620000;79.8090000;79.8090000;56
USDINR;60;20220819;170000;79.8140000;79.8610000;79.8040000;79.8540000;33
USDINR;60;20220819;180000;79.8520000;79.9110000;79.8520000;79.8940000;48
USDINR;60;20220819;190000;79.8940000;79.8940000;79.8940000;79.8940000;1
USDINR;60;20220819;200000;79.8940000;79.8940000;79.8940000;79.8940000;4
USDINR;60;20220819;210000;79.8940000;79.9100000;79.8940000;79.8940000;4
USDINR;60;20220819;220000;79.9100000;79.9100000;79.9000000;79.9000000;2
USDINR;60;20220819;230000;79.9200000;79.9200000;79.9100000;79.9100000;3
USDINR;60;20220820;010000;79.9100000;79.9100000;79.9100000;79.9100000;2
USDINR;60;20220821;220000;79.9100000;79.9100000;79.9100000;79.9100000;2
USDINR;60;20220822;030000;79.9100000;79.9100000;79.9100000;79.9100000;2
USDINR;60;20220822;050000;79.8760000;79.8980000;79.8760000;79.8980000;2
USDINR;60;20220822;060000;79.9010000;79.9060000;79.8870000;79.8990000;13
USDINR;60;20220822;070000;79.9000000;79.9000000;79.7675000;79.8775000;156
USDINR;60;20220822;080000;79.8750000;79.8775000;79.7750000;79.8300000;327
USDINR;60;20220822;090000;79.8275000;79.8750000;79.8225000;79.8625000;331
USDINR;60;20220822;100000;79.8600000;79.8825000;79.8550000;79.8650000;361
USDINR;60;20220822;110000;79.8625000;79.9025000;79.8625000;79.8900000;322
