<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;60;20220826;200000;6.8715000;6.8715000;6.8715000;6.8715000;1
USDCNY;60;20220826;210000;6.8715000;6.8715000;6.8715000;6.8715000;1
USDCNY;60;20220826;220000;6.8715000;6.8715000;6.8715000;6.8715000;2
USDCNY;60;20220827;010000;6.8715000;6.8715000;6.8715000;6.8715000;2
USDCNY;60;20220827;020000;6.8715000;6.8715000;6.8715000;6.8715000;5
USDCNY;60;20220829;010000;6.8715000;6.8717000;6.8715000;6.8717000;9
USDCNY;60;20220829;020000;6.8715000;6.8715000;6.8715000;6.8715000;3
USDCNY;60;20220829;050000;6.8960000;6.9165000;6.8960000;6.9165000;52
USDCNY;60;20220829;060000;6.9165000;6.9190000;6.9086000;6.9138000;125
USDCNY;60;20220829;070000;6.9133000;6.9165000;6.9133000;6.9150000;136
USDCNY;60;20220829;080000;6.9150000;6.9156000;6.9132000;6.9156000;174
USDCNY;60;20220829;090000;6.9156000;6.9215000;6.9155000;6.9190000;209
USDCNY;60;20220829;100000;6.9192000;6.9209000;6.9167000;6.9193000;246
USDCNY;60;20220829;110000;6.9200000;6.9217000;6.9188000;6.9192000;231
USDCNY;60;20220829;120000;6.9193000;6.9220000;6.9170000;6.9197000;188
USDCNY;60;20220829;130000;6.9196000;6.9206000;6.9163000;6.9180000;177
USDCNY;60;20220829;140000;6.9180000;6.9188000;6.9150000;6.9162000;148
USDCNY;60;20220829;150000;6.9162000;6.9182000;6.9142000;6.9143000;159
USDCNY;60;20220829;160000;6.9142000;6.9142000;6.9081000;6.9084000;76
USDCNY;60;20220829;170000;6.9083000;6.9090000;6.9067000;6.9067000;36
USDCNY;60;20220829;180000;6.9068000;6.9075000;6.9031000;6.9075000;63
USDCNY;60;20220829;190000;6.9075000;6.9080000;6.9059000;6.9067000;28
USDCNY;60;20220829;210000;6.9067000;6.9067000;6.9067000;6.9067000;3
USDCNY;60;20220830;000000;6.9067000;6.9067000;6.9067000;6.9067000;1
USDCNY;60;20220830;010000;6.9067000;6.9080000;6.9067000;6.9080000;12
USDCNY;60;20220830;020000;6.9067000;6.9067000;6.9067000;6.9067000;1
USDCNY;60;20220830;050000;6.9060000;6.9147000;6.9060000;6.9147000;57
USDCNY;60;20220830;060000;6.9147000;6.9211000;6.9147000;6.9203000;126
USDCNY;60;20220830;070000;6.9207000;6.9207000;6.9168000;6.9175000;157
USDCNY;60;20220830;080000;6.9175000;6.9179000;6.9159000;6.9159000;196
USDCNY;60;20220830;090000;6.9159000;6.9177000;6.9153000;6.9172000;221
USDCNY;60;20220830;100000;6.9180000;6.9180000;6.9113000;6.9150000;238
USDCNY;60;20220830;110000;6.9159000;6.9188000;6.9127000;6.9128000;253
USDCNY;60;20220830;120000;6.9126000;6.9141000;6.8969000;6.9047000;244
USDCNY;60;20220830;130000;6.9048000;6.9048000;6.8985000;6.9000000;202
USDCNY;60;20220830;140000;6.9001000;6.9008000;6.8996000;6.9005000;190
USDCNY;60;20220830;150000;6.9004000;6.9004000;6.8982000;6.8993000;147
USDCNY;60;20220830;160000;6.8990000;6.9029000;6.8990000;6.9029000;66
USDCNY;60;20220830;170000;6.9029000;6.9029000;6.9019000;6.9029000;29
USDCNY;60;20220830;180000;6.9039000;6.9114000;6.9029000;6.9100000;66
USDCNY;60;20220830;190000;6.9099000;6.9100000;6.9081000;6.9100000;4
USDCNY;60;20220830;200000;6.9100000;6.9100000;6.9100000;6.9100000;2
USDCNY;60;20220830;210000;6.9100000;6.9100000;6.9100000;6.9100000;2
USDCNY;60;20220830;220000;6.9100000;6.9100000;6.9100000;6.9100000;6
USDCNY;60;20220830;230000;6.9100000;6.9100000;6.9100000;6.9100000;2
USDCNY;60;20220831;000000;6.9100000;6.9100000;6.9100000;6.9100000;2
USDCNY;60;20220831;010000;6.9081000;6.9100000;6.9081000;6.9081000;12
USDCNY;60;20220831;050000;6.9090000;6.9150000;6.9072000;6.9107000;57
USDCNY;60;20220831;060000;6.9108000;6.9112000;6.8976000;6.8993000;115
USDCNY;60;20220831;070000;6.9000000;6.9010000;6.8925000;6.8925000;158
USDCNY;60;20220831;080000;6.8917000;6.8928000;6.8910000;6.8915000;159
USDCNY;60;20220831;090000;6.8915000;6.8935000;6.8900000;6.8921000;206
USDCNY;60;20220831;100000;6.8920000;6.8970000;6.8904000;6.8963000;237
USDCNY;60;20220831;110000;6.8965000;6.8973000;6.8929000;6.8929000;231
USDCNY;60;20220831;120000;6.8934000;6.8985000;6.8865000;6.8980000;222
USDCNY;60;20220831;130000;6.8996000;6.8999000;6.8967000;6.8971000;173
USDCNY;60;20220831;140000;6.8973000;6.8985000;6.8973000;6.8979000;154
USDCNY;60;20220831;150000;6.8979000;6.8979000;6.8926000;6.8928000;146
USDCNY;60;20220831;160000;6.8928000;6.8932000;6.8915000;6.8915000;58
USDCNY;60;20220831;170000;6.8912000;6.8925000;6.8906000;6.8906000;53
USDCNY;60;20220831;180000;6.8919000;6.8919000;6.8880000;6.8881000;44
USDCNY;60;20220831;190000;6.8880000;6.8905000;6.8880000;6.8890000;30
USDCNY;60;20220831;200000;6.8890000;6.8890000;6.8890000;6.8890000;7
USDCNY;60;20220831;210000;6.8890000;6.8890000;6.8890000;6.8890000;3
USDCNY;60;20220831;220000;6.8890000;6.8890000;6.8890000;6.8890000;7
USDCNY;60;20220901;010000;6.8890000;6.8903000;6.8890000;6.8890000;7
USDCNY;60;20220901;050000;6.9050000;6.9079000;6.9036000;6.9055000;37
USDCNY;60;20220901;060000;6.9056000;6.9060000;6.8990000;6.9032000;73
USDCNY;60;20220901;070000;6.9030000;6.9055000;6.8996000;6.9053000;156
USDCNY;60;20220901;080000;6.9054000;6.9071000;6.9054000;6.9065000;171
USDCNY;60;20220901;090000;6.9064000;6.9064000;6.9000000;6.9019000;208
USDCNY;60;20220901;100000;6.9024000;6.9033000;6.9001000;6.9006000;220
USDCNY;60;20220901;110000;6.9003000;6.9040000;6.8992000;6.9021000;245
USDCNY;60;20220901;120000;6.9030000;6.9042000;6.8961000;6.8961000;238
USDCNY;60;20220901;130000;6.8961000;6.8987000;6.8921000;6.8981000;201
USDCNY;60;20220901;140000;6.8981000;6.8988000;6.8981000;6.8984000;160
USDCNY;60;20220901;150000;6.8984000;6.8992000;6.8983000;6.8983000;136
USDCNY;60;20220901;160000;6.8983000;6.8995000;6.8960000;6.8978000;55
USDCNY;60;20220901;170000;6.8978000;6.8985000;6.8978000;6.8985000;22
USDCNY;60;20220901;180000;6.9006000;6.9045000;6.8996000;6.9045000;52
USDCNY;60;20220901;190000;6.9020000;6.9066000;6.9020000;6.9066000;23
USDCNY;60;20220901;200000;6.9066000;6.9066000;6.9066000;6.9066000;7
USDCNY;60;20220901;210000;6.9066000;6.9066000;6.9066000;6.9066000;2
USDCNY;60;20220901;230000;6.9066000;6.9066000;6.9066000;6.9066000;3
USDCNY;60;20220902;010000;6.9066000;6.9069000;6.9066000;6.9069000;9
USDCNY;60;20220902;050000;6.9050000;6.9056000;6.9007000;6.9025000;49
USDCNY;60;20220902;060000;6.9026000;6.9039000;6.9013000;6.9021000;104
USDCNY;60;20220902;070000;6.9021000;6.9028000;6.9017000;6.9020000;118
USDCNY;60;20220902;080000;6.9020000;6.9020000;6.9015000;6.9017000;144
USDCNY;60;20220902;090000;6.9017000;6.9031000;6.9017000;6.9030000;185
USDCNY;60;20220902;100000;6.9029000;6.9040000;6.9022000;6.9025000;214
USDCNY;60;20220902;110000;6.9025000;6.9027000;6.9007000;6.9016000;177
USDCNY;60;20220902;120000;6.9017000;6.9088000;6.9010000;6.9080000;177
USDCNY;60;20220902;130000;6.9085000;6.9090000;6.9061000;6.9064000;161
