<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;60;20220926;160000;10.7372000;10.7594000;10.6654400;10.6862500;243117
USDNOK;60;20220926;170000;10.6862000;10.7139000;10.6699100;10.6770700;202966
USDNOK;60;20220926;180000;10.6760000;10.7428000;10.6659000;10.7272000;215705
USDNOK;60;20220926;190000;10.7272100;10.8184000;10.7139200;10.7873000;253085
USDNOK;60;20220926;200000;10.7853500;10.8288500;10.7819400;10.8023000;221342
USDNOK;60;20220926;210000;10.8021000;10.8551000;10.7958200;10.8490000;203097
USDNOK;60;20220926;220000;10.8490000;10.8576000;10.8059100;10.8274400;168142
USDNOK;60;20220926;230000;10.8258400;10.8360400;10.7639600;10.8112000;204432
USDNOK;60;20220927;000000;10.8116000;10.8246000;10.7971900;10.8119400;100966
USDNOK;60;20220927;010000;10.8143300;10.8232000;10.8118600;10.8199000;548
USDNOK;60;20220927;020000;10.8204000;10.8481000;10.8046600;10.8154000;53443
USDNOK;60;20220927;030000;10.8182900;10.8227000;10.7780000;10.7825000;130180
USDNOK;60;20220927;040000;10.7861600;10.7922800;10.7487000;10.7520000;183655
USDNOK;60;20220927;050000;10.7539400;10.7740000;10.7428000;10.7644000;220233
USDNOK;60;20220927;060000;10.7634400;10.7729000;10.7425000;10.7601000;191796
USDNOK;60;20220927;070000;10.7602000;10.7653000;10.7380000;10.7492000;134285
USDNOK;60;20220927;080000;10.7501700;10.7630000;10.7370000;10.7569500;124462
USDNOK;60;20220927;090000;10.7563400;10.7628000;10.7093600;10.7258000;186553
USDNOK;60;20220927;100000;10.7247100;10.7398000;10.6951300;10.7338700;211474
USDNOK;60;20220927;110000;10.7331000;10.7473000;10.6946100;10.7325000;209545
USDNOK;60;20220927;120000;10.7328200;10.7534000;10.7158300;10.7441000;178835
USDNOK;60;20220927;130000;10.7455300;10.7800000;10.7349800;10.7789800;165770
USDNOK;60;20220927;140000;10.7790800;10.7811000;10.7148500;10.7268500;185273
USDNOK;60;20220927;150000;10.7271600;10.7448000;10.6851000;10.7119500;181641
USDNOK;60;20220927;160000;10.7127500;10.7765000;10.7090400;10.7700000;194062
USDNOK;60;20220927;170000;10.7700000;10.7808000;10.7264000;10.7535900;245835
USDNOK;60;20220927;180000;10.7561500;10.7977000;10.7441600;10.7580000;261525
USDNOK;60;20220927;190000;10.7583000;10.8027000;10.7412700;10.7886400;268538
USDNOK;60;20220927;200000;10.7903200;10.8557500;10.7854400;10.8307700;245064
USDNOK;60;20220927;210000;10.8298000;10.8498000;10.8116000;10.8243000;237378
USDNOK;60;20220927;220000;10.8246700;10.8430000;10.7947400;10.7985100;179617
USDNOK;60;20220927;230000;10.7985100;10.8295700;10.7972000;10.8024200;192746
USDNOK;60;20220928;000000;10.8036000;10.8196400;10.7961800;10.8062000;71329
USDNOK;60;20220928;010000;10.8071000;10.8130400;10.8038000;10.8086200;505
USDNOK;60;20220928;020000;10.8085200;10.8162000;10.7902600;10.8082000;57154
USDNOK;60;20220928;030000;10.8074000;10.8175000;10.7928100;10.8027000;97688
USDNOK;60;20220928;040000;10.7996200;10.8427000;10.7868200;10.8272000;146893
USDNOK;60;20220928;050000;10.8273000;10.8695000;10.8190000;10.8658000;196515
USDNOK;60;20220928;060000;10.8650000;10.9250000;10.8554000;10.8951400;189534
USDNOK;60;20220928;070000;10.8960000;10.8999000;10.8607000;10.8811000;137526
USDNOK;60;20220928;080000;10.8871000;10.9159200;10.8732000;10.9044000;128189
USDNOK;60;20220928;090000;10.9007500;10.9134000;10.8825000;10.8999000;185486
USDNOK;60;20220928;100000;10.9011000;10.9126000;10.8599000;10.9064000;186163
USDNOK;60;20220928;110000;10.9064000;10.9506000;10.8693000;10.8985000;240097
USDNOK;60;20220928;120000;10.8976500;10.9529000;10.8844000;10.9372100;217464
USDNOK;60;20220928;130000;10.9360000;11.0107000;10.9300000;10.9831000;203432
USDNOK;60;20220928;140000;10.9825900;10.9898000;10.8637500;10.9091000;299820
USDNOK;60;20220928;150000;10.9100700;10.9708000;10.9030000;10.9493800;219625
USDNOK;60;20220928;160000;10.9496000;10.9516000;10.8792000;10.8995000;261463
USDNOK;60;20220928;170000;10.8995000;10.9160000;10.7832000;10.8180000;266931
USDNOK;60;20220928;180000;10.8180000;10.8407000;10.7688000;10.8040500;249298
USDNOK;60;20220928;190000;10.8030000;10.8132000;10.7210000;10.7339000;284571
USDNOK;60;20220928;200000;10.7331000;10.7448300;10.6813000;10.7141000;280286
USDNOK;60;20220928;210000;10.7140000;10.7263800;10.6560100;10.6730700;261890
USDNOK;60;20220928;220000;10.6741000;10.6866000;10.6399000;10.6523600;265090
USDNOK;60;20220928;230000;10.6564000;10.6815700;10.6470000;10.6673300;199496
USDNOK;60;20220929;000000;10.6674000;10.6761900;10.6503300;10.6536900;80609
USDNOK;60;20220929;010000;10.6604000;10.6671000;10.6500000;10.6590400;5236
USDNOK;60;20220929;020000;10.6593200;10.6826000;10.6522000;10.6818000;83236
USDNOK;60;20220929;030000;10.6818000;10.7016000;10.6660000;10.6987000;134540
USDNOK;60;20220929;040000;10.6997000;10.7255000;10.6810000;10.7215000;191180
USDNOK;60;20220929;050000;10.7201000;10.7274000;10.6977000;10.7221000;184037
USDNOK;60;20220929;060000;10.7232000;10.7620000;10.7120000;10.7486000;145699
USDNOK;60;20220929;070000;10.7484000;10.7556000;10.7270000;10.7361000;159934
USDNOK;60;20220929;080000;10.7357500;10.7463000;10.7201000;10.7326000;162698
USDNOK;60;20220929;090000;10.7294700;10.8118500;10.7202000;10.8023000;214317
USDNOK;60;20220929;100000;10.8022000;10.8333000;10.7906000;10.8127900;204136
USDNOK;60;20220929;110000;10.8129800;10.8782000;10.8038000;10.8474000;231087
USDNOK;60;20220929;120000;10.8483600;10.8735000;10.8294000;10.8334000;196368
USDNOK;60;20220929;130000;10.8330000;10.8381000;10.7626400;10.7836000;229310
USDNOK;60;20220929;140000;10.7837000;10.8081000;10.7566000;10.7615000;183557
USDNOK;60;20220929;150000;10.7615000;10.7757800;10.7102000;10.7454000;199750
USDNOK;60;20220929;160000;10.7452000;10.7929000;10.7317000;10.7835000;214704
USDNOK;60;20220929;170000;10.7835000;10.7917000;10.7280000;10.7593600;263839
USDNOK;60;20220929;180000;10.7587000;10.7991800;10.7332000;10.7531900;300255
USDNOK;60;20220929;190000;10.7530000;10.7573100;10.6951000;10.7207500;297628
USDNOK;60;20220929;200000;10.7206700;10.7383000;10.6926200;10.7370000;207161
USDNOK;60;20220929;210000;10.7371500;10.7562800;10.7088000;10.7493000;182485
USDNOK;60;20220929;220000;10.7479000;10.7573000;10.7186000;10.7389000;184109
USDNOK;60;20220929;230000;10.7372400;10.7439000;10.6952000;10.7192000;201906
USDNOK;60;20220930;000000;10.7195000;10.7259000;10.6883900;10.7008000;92101
USDNOK;60;20220930;010000;10.7003000;10.7044000;10.6842600;10.6867300;3355
USDNOK;60;20220930;020000;10.6872400;10.6992000;10.6220000;10.6930000;53187
USDNOK;60;20220930;030000;10.6861500;10.7039000;10.6569000;10.6787000;106574
USDNOK;60;20220930;040000;10.6786000;10.7032000;10.6656400;10.6713400;238018
USDNOK;60;20220930;050000;10.6729000;10.7049000;10.6670000;10.7009700;186475
USDNOK;60;20220930;060000;10.7030900;10.7238000;10.6800000;10.7043800;223564
USDNOK;60;20220930;070000;10.7000000;10.7248000;10.6943000;10.7226000;247221
USDNOK;60;20220930;080000;10.7208000;10.7278000;10.6970000;10.7210000;138964
USDNOK;60;20220930;090000;10.7244000;10.7262000;10.6626000;10.6772700;190923
USDNOK;60;20220930;100000;10.6780500;10.7258000;10.6566700;10.7010000;237757
USDNOK;60;20220930;110000;10.7010000;10.7066000;10.6365000;10.6646000;238287
USDNOK;60;20220930;120000;10.6647000;10.7264700;10.6317000;10.6702300;221580
USDNOK;60;20220930;130000;10.6694900;10.7653900;10.6630000;10.7632000;195690
USDNOK;60;20220930;140000;10.7636000;10.8342900;10.7376000;10.8012700;204637
USDNOK;60;20220930;150000;10.8004900;10.8309000;10.7859000;10.8210000;176726
USDNOK;60;20220930;160000;10.8210000;10.8629000;10.7785000;10.8521000;226614
USDNOK;60;20220930;170000;10.8531000;10.9027000;10.8320800;10.8387000;241748
USDNOK;60;20220930;180000;10.8340000;10.9073000;10.8203000;10.8961400;244792
USDNOK;60;20220930;190000;10.8953500;10.9002000;10.8326400;10.8751600;270316
USDNOK;60;20220930;200000;10.8762000;10.8936500;10.8600000;10.8671000;195202
USDNOK;60;20220930;210000;10.8671000;10.8911000;10.8563500;10.8740000;157183
USDNOK;60;20220930;220000;10.8769000;10.8840000;10.8602000;10.8838900;136051
USDNOK;60;20220930;230000;10.8831000;10.8988000;10.8558000;10.8847000;135413
USDNOK;60;20221001;000000;10.8848000;10.8959300;10.8600000;10.8844000;78562
USDNOK;60;20221001;010000;10.8779500;10.8845000;10.8779500;10.8835000;3
USDNOK;60;20221002;220000;10.8779500;10.8779500;10.8454000;10.8506000;4
USDNOK;60;20221003;010000;10.8757000;10.8757000;10.8757000;10.8757000;1
USDNOK;60;20221003;020000;10.8626800;10.8664500;10.8500200;10.8640000;475
USDNOK;60;20221003;030000;10.8645000;10.8767000;10.8549000;10.8649300;7247
USDNOK;60;20221003;040000;10.8648200;10.8836000;10.8544300;10.8600400;46968
USDNOK;60;20221003;050000;10.8615200;10.8687000;10.8170000;10.8200000;28930
USDNOK;60;20221003;060000;10.8193400;10.8456000;10.8170000;10.8398800;36408
USDNOK;60;20221003;070000;10.8403000;10.8590000;10.8310000;10.8523000;54733
USDNOK;60;20221003;080000;10.8541000;10.8959000;10.8491300;10.8896000;90488
USDNOK;60;20221003;090000;10.8895000;10.8960000;10.7890000;10.7994000;112496
USDNOK;60;20221003;100000;10.7992000;10.8766000;10.7902000;10.8543200;200497
USDNOK;60;20221003;110000;10.8549200;10.8846000;10.8207000;10.8291500;237240
USDNOK;60;20221003;120000;10.8291500;10.8546000;10.8176000;10.8240000;193749
USDNOK;60;20221003;130000;10.8240000;10.8978000;10.8150200;10.8594000;172894
USDNOK;60;20221003;140000;10.8569500;10.8732000;10.8260500;10.8314100;178257
USDNOK;60;20221003;150000;10.8327000;10.8531000;10.8122000;10.8206000;174221
USDNOK;60;20221003;160000;10.8209600;10.8306000;10.7800500;10.7965000;216471
USDNOK;60;20221003;170000;10.7976000;10.8248000;10.7677500;10.7844000;220457
USDNOK;60;20221003;180000;10.7837000;10.7842500;10.6920500;10.7088100;186925
USDNOK;60;20221003;190000;10.7091500;10.7203000;10.6732600;10.7100300;210710
USDNOK;60;20221003;200000;10.7099000;10.7201000;10.6825400;10.7019000;144694
USDNOK;60;20221003;210000;10.7010200;10.7097000;10.6818800;10.6974100;147103
USDNOK;60;20221003;220000;10.6980000;10.7031000;10.6554300;10.6657000;142237
USDNOK;60;20221003;230000;10.6647000;10.6808000;10.6418900;10.6434000;134360
USDNOK;60;20221004;000000;10.6435000;10.6564000;10.6415000;10.6511000;67737
USDNOK;60;20221004;010000;10.6472500;10.6643000;10.6366700;10.6556000;2202
USDNOK;60;20221004;020000;10.6567000;10.6569000;10.6288700;10.6471500;59891
USDNOK;60;20221004;030000;10.6512000;10.6516000;10.6230000;10.6397000;151681
USDNOK;60;20221004;040000;10.6397000;10.6590000;10.6250000;10.6474000;191962
USDNOK;60;20221004;050000;10.6441000;10.6679000;10.6255000;10.6606000;209283
USDNOK;60;20221004;060000;10.6611000;10.6778000;10.6470000;10.6551000;209483
USDNOK;60;20221004;070000;10.6552300;10.6621000;10.6221000;10.6329000;187707
USDNOK;60;20221004;080000;10.6320700;10.6592000;10.6242000;10.6430000;111750
USDNOK;60;20221004;090000;10.6429000;10.6613000;10.6200000;10.6305000;168317
USDNOK;60;20221004;100000;10.6296700;10.6431000;10.5682000;10.5767000;196096
USDNOK;60;20221004;110000;10.5754000;10.5900100;10.5461000;10.5516000;225026
USDNOK;60;20221004;120000;10.5517000;10.6047100;10.5466000;10.5560200;193256
USDNOK;60;20221004;130000;10.5556500;10.6068700;10.5532000;10.5848000;183769
USDNOK;60;20221004;140000;10.5861000;10.5885500;10.5520000;10.5658000;166503
USDNOK;60;20221004;150000;10.5656500;10.6202400;10.5611000;10.5975100;194913
USDNOK;60;20221004;160000;10.5963800;10.6123500;10.5602200;10.5626900;210369
USDNOK;60;20221004;170000;10.5627900;10.5965000;10.5594600;10.5774400;210160
USDNOK;60;20221004;180000;10.5773400;10.5820000;10.5150000;10.5181400;220784
USDNOK;60;20221004;190000;10.5193100;10.5275000;10.4610000;10.4787000;233315
USDNOK;60;20221004;200000;10.4790500;10.5008600;10.4519000;10.4951000;192447
USDNOK;60;20221004;210000;10.4949700;10.5117900;10.4684700;10.4770500;203241
USDNOK;60;20221004;220000;10.4771500;10.4903000;10.4424500;10.4465000;139966
USDNOK;60;20221004;230000;10.4464000;10.4699100;10.4326800;10.4374000;194540
USDNOK;60;20221005;000000;10.4376000;10.4465700;10.4174200;10.4268000;105752
USDNOK;60;20221005;010000;10.4262500;10.4405500;10.4194600;10.4364800;2267
USDNOK;60;20221005;020000;10.4364800;10.4413600;10.4259800;10.4366000;51703
USDNOK;60;20221005;030000;10.4360800;10.4456000;10.4286000;10.4403200;117407
USDNOK;60;20221005;040000;10.4384700;10.4845500;10.4210000;10.4586000;152311
USDNOK;60;20221005;050000;10.4589000;10.4750000;10.4309000;10.4686000;214402
USDNOK;60;20221005;060000;10.4741000;10.4887000;10.4490000;10.4697400;190207
USDNOK;60;20221005;070000;10.4764000;10.4880000;10.4560000;10.4633000;141059
USDNOK;60;20221005;080000;10.4633000;10.4809000;10.4580000;10.4786000;84775
USDNOK;60;20221005;090000;10.4758000;10.4790000;10.4458300;10.4772000;162827
USDNOK;60;20221005;100000;10.4743100;10.4859000;10.4362900;10.4595000;172183
USDNOK;60;20221005;110000;10.4576000;10.5520000;10.4519000;10.5390000;218854
USDNOK;60;20221005;120000;10.5392000;10.5903000;10.5237000;10.5336600;198568
USDNOK;60;20221005;130000;10.5317000;10.5849600;10.5270100;10.5581000;155768
USDNOK;60;20221005;140000;10.5588400;10.5875900;10.5306600;10.5364000;179183
USDNOK;60;20221005;150000;10.5361800;10.5965900;10.5340000;10.5859000;177431
USDNOK;60;20221005;160000;10.5858000;10.6002400;10.5619300;10.5815900;200539
USDNOK;60;20221005;170000;10.5817000;10.6214600;10.5724500;10.5815400;224675
USDNOK;60;20221005;180000;10.5824000;10.6811000;10.5824000;10.6264800;272334
USDNOK;60;20221005;190000;10.6263800;10.6345900;10.5833500;10.5951000;229525
USDNOK;60;20221005;200000;10.5952000;10.6037900;10.5618500;10.5677000;163512
USDNOK;60;20221005;210000;10.5675000;10.5803300;10.5145000;10.5436500;196786
USDNOK;60;20221005;220000;10.5447900;10.5462900;10.5095300;10.5120000;169441
USDNOK;60;20221005;230000;10.5125200;10.5400000;10.4893000;10.5322000;225401
USDNOK;60;20221006;000000;10.5329100;10.5342000;10.5113200;10.5317000;87218
USDNOK;60;20221006;010000;10.5328000;10.5413000;10.5264000;10.5296000;183
USDNOK;60;20221006;020000;10.5306000;10.5317000;10.4954700;10.5136500;44820
USDNOK;60;20221006;030000;10.5193500;10.5222000;10.4829000;10.4841200;180684
USDNOK;60;20221006;040000;10.4841200;10.4918000;10.4461400;10.4696200;152978
USDNOK;60;20221006;050000;10.4701300;10.4922000;10.4620000;10.4807000;170089
USDNOK;60;20221006;060000;10.4806000;10.4882000;10.4622000;10.4730000;106948
USDNOK;60;20221006;070000;10.4731000;10.4756000;10.4487000;10.4635200;119069
USDNOK;60;20221006;080000;10.4658000;10.4770000;10.4576000;10.4596400;98885
USDNOK;60;20221006;090000;10.4635600;10.4702000;10.4418000;10.4592000;180049
USDNOK;60;20221006;100000;10.4551300;10.5218300;10.4471000;10.5162000;163469
USDNOK;60;20221006;110000;10.5161000;10.5191000;10.4781500;10.4912000;223738
USDNOK;60;20221006;120000;10.4914000;10.5669000;10.4847000;10.5531000;196429
USDNOK;60;20221006;130000;10.5542300;10.5611400;10.5332000;10.5400000;160596
USDNOK;60;20221006;140000;10.5415500;10.5617300;10.5335000;10.5394000;161520
USDNOK;60;20221006;150000;10.5391900;10.5707300;10.5302000;10.5600500;164436
USDNOK;60;20221006;160000;10.5600500;10.5815300;10.5318000;10.5640300;192048
USDNOK;60;20221006;170000;10.5641300;10.6611900;10.5564000;10.6222000;267553
USDNOK;60;20221006;180000;10.6222000;10.6876000;10.6190500;10.6648500;255455
USDNOK;60;20221006;190000;10.6648500;10.6934000;10.6405000;10.6915000;268616
USDNOK;60;20221006;200000;10.6920000;10.7198100;10.6863100;10.6970800;216445
USDNOK;60;20221006;210000;10.6976000;10.7016100;10.6720300;10.6807000;154933
USDNOK;60;20221006;220000;10.6795000;10.7106600;10.6775600;10.7079000;154034
USDNOK;60;20221006;230000;10.7098000;10.7179200;10.7002000;10.7094000;151450
USDNOK;60;20221007;000000;10.7094000;10.7220000;10.7048000;10.7218000;72971
USDNOK;60;20221007;010000;10.7189600;10.7241000;10.6968700;10.7058500;5914
USDNOK;60;20221007;020000;10.7063500;10.7211000;10.7000000;10.7134200;53149
USDNOK;60;20221007;030000;10.7134200;10.7246200;10.7016200;10.7174100;100740
USDNOK;60;20221007;040000;10.7165000;10.7257200;10.7010000;10.7161000;175651
USDNOK;60;20221007;050000;10.7161000;10.7251000;10.7030000;10.7089000;132404
USDNOK;60;20221007;060000;10.7090000;10.7156400;10.6871800;10.6956000;122010
USDNOK;60;20221007;070000;10.6975000;10.7074800;10.6881400;10.7019500;99366
USDNOK;60;20221007;080000;10.7026000;10.7225000;10.6930000;10.7203200;97348
USDNOK;60;20221007;090000;10.7191200;10.7224000;10.7016100;10.7067800;148556
USDNOK;60;20221007;100000;10.7113000;10.7591000;10.7007000;10.7441400;192573
USDNOK;60;20221007;110000;10.7442000;10.7442600;10.6945500;10.7220300;196034
USDNOK;60;20221007;120000;10.7212000;10.7291000;10.6956500;10.7085200;168847
USDNOK;60;20221007;130000;10.7086000;10.7145000;10.6838000;10.6859000;155346
USDNOK;60;20221007;140000;10.6861000;10.7122800;10.6773000;10.6948800;162528
USDNOK;60;20221007;150000;10.6951000;10.7084600;10.6786500;10.6952000;144784
USDNOK;60;20221007;160000;10.6952000;10.7522900;10.6552700;10.7236800;258276
USDNOK;60;20221007;170000;10.7220000;10.7366200;10.6801500;10.7175600;322584
USDNOK;60;20221007;180000;10.7169000;10.7423000;10.6579000;10.6659400;297554
USDNOK;60;20221007;190000;10.6659400;10.6829000;10.6528500;10.6716600;242895
USDNOK;60;20221007;200000;10.6701000;10.7065800;10.6582000;10.6965400;180902
USDNOK;60;20221007;210000;10.6952900;10.7045900;10.6753100;10.7012000;163334
USDNOK;60;20221007;220000;10.7011900;10.7245000;10.6846000;10.7209000;162477
USDNOK;60;20221007;230000;10.7209000;10.7318000;10.7060500;10.7144800;120489
USDNOK;60;20221008;000000;10.7143800;10.7189000;10.7002000;10.7116000;50576
USDNOK;60;20221008;010000;10.7047500;10.7047500;10.7023000;10.7023000;2
USDNOK;60;20221009;230000;10.6970000;10.6975000;10.6970000;10.6975000;2
USDNOK;60;20221010;000000;10.6996000;10.7114000;10.6996000;10.7114000;24
USDNOK;60;20221010;010000;10.7038000;10.7128000;10.7038000;10.7092000;325
USDNOK;60;20221010;020000;10.7097000;10.7223000;10.7001000;10.7199000;19905
USDNOK;60;20221010;030000;10.7140000;10.7295000;10.6933000;10.7181000;76977
USDNOK;60;20221010;040000;10.7181000;10.7347000;10.6994000;10.7117300;108493
USDNOK;60;20221010;050000;10.7156000;10.7215800;10.6890000;10.6963700;105676
USDNOK;60;20221010;060000;10.6950800;10.7129800;10.6901000;10.7077200;135014
